ID,Adresse,Bilder,Features,Grundriss,Grundstück,Haus/Wohnung,Kaltmiete,Kaufpreis,Lat,Lon,Miete/Kauf,PLZ,Stadt,Stadtteil,Titel,Wohnfläche,Zimmer,von privat,From_UUID
88078153,"Hermann-Hesse-Straße 2b, Bühlau/Weißer Hirsch, Dresden",11,"[Balkon/Terrasse, Garten, Keller, Aufzug]",True,,Wohnung,730 €,,51.06509,13.82077,Miete,01324,Dresden,Bühlau/Weißer Hirsch,"2-Zi.-Whg. im ""Herrenbad"" für Naturliebhaber","62,49 m²",2,False,28d5d17f-e4c1-3f60-ba32-91e8b3a727c3
88078823,"Striesen-West, Dresden",22,"[Keller, Aufzug]",True,,Wohnung,,69.900 €,,,Kauf,01309,Dresden,Striesen-West,Striesen - Nähe Uniklinikum! Auch für Eigennutzer - Reizvolle Dachwohnung im Haus mit Lift!,33 m²,"1,5",False,019405f3-5948-3bd9-bd01-b1990006f621
88078889,"Blasewitz, Dresden",13,"[Balkon/Terrasse, Garten, Keller, Gäste-WC, Aufzug]",False,,Wohnung,,565.000 €,,,Kauf,01309,Dresden,Blasewitz,Umlaufende Terrasse mit Elbblick: Bezugsfreie Luxuswohnung,220 m²,6,False,47c667c8-f0fa-3733-a907-9cf053b451c4
88079053,"Hermann-Hesse-Straße 2a, Bühlau/Weißer Hirsch, Dresden",20,"[Balkon/Terrasse, Keller, Gäste-WC, Aufzug]",True,,Wohnung,1.220 €,,51.06506,13.82077,Miete,01324,Dresden,Bühlau/Weißer Hirsch,"grozügige und luxuriöse 2-Zi.-Whg. im sanierten Altbau, ""Herrenbad"" Dr. Lahmann Park","102,24 m²",2,False,28d5d17f-e4c1-3f60-ba32-91e8b3a727c3
88080059,"Striesen-West, Dresden",12,"[Balkon/Terrasse, Einbauküche]",True,,Wohnung,,95.000 €,,,Kauf,01309,Dresden,Striesen-West,Striesen - Kapitalanlage zum attraktiven Preis,"56,6 m²",2,False,5960e375-a924-346d-8d1f-8c3479f38247
88080551,"Heinrich-Beck-Str. 2, Johannstadt-Nord, Dresden",6,[],True,,Wohnung,757 €,,51.05889,13.76899,Miete,01307,Dresden,Johannstadt-Nord,Familiengerechte 4 Raumwohnung in Elbnähe!,"86,05 m²",4,False,70193fdb-bb2d-3420-9fbe-7ec5be53162c
88086997,"Langebrück/Schönborn, Dresden",7,"[Provisionsfrei*, Keller, Gäste-WC]",True,1.080 m²,Haus,,795.000 €,,,Kauf,01465,Dresden,Langebrück/Schönborn,Zweifamilienhaus am Waldrand,272 m²,6,False,70dd9ce0-9181-3dde-bb24-c803f971a282
88086999,"Schönfeld/Schullwitz, Dresden",13,"[Provisionsfrei*, Gäste-WC]",True,431 m²,Haus,,369.337 €,,,Kauf,01328,Dresden,Schönfeld/Schullwitz,KAMPA Effizienzhaus Plus,116 m²,5,False,70dd9ce0-9181-3dde-bb24-c803f971a282
88087200,"Loschwitz/Wachwitz, Dresden",13,[Einbauküche],True,,Wohnung,580 €,,,,Miete,01326,Dresden,Loschwitz/Wachwitz,"Wohnen mit Weitblick & in Bestlage!, www.cmdd.de",65 m²,"2,5",False,a8111f92-a628-3f37-8e0a-cd1a2fb6cba8
88088006,"Budapester Str. 69, Südvorstadt-West, Dresden",4,"[Balkon/Terrasse, Keller, Aufzug]",True,,Wohnung,"478,57 €",,51.03721,13.71689,Miete,01069,Dresden,Südvorstadt-West,Jetzt zugreifen! frisch sanierte Wohnung - Einzug noch im September möglich! (WBS),"58,15 m²",3,False,febb25fd-ec47-3fa9-acbe-fd5959e7a9c4
88100206,"Osterbergstraße 5, Pieschen-Süd, Dresden",3,"[Provisionsfrei*, Einbauküche, Keller]",True,,Wohnung,,90.000 €,51.07882,13.7255,Kauf,01127,Dresden,Pieschen-Süd,3-Raum-Wohnung mit Einbauküche,70 m²,3,True,0975f514-1d52-32ce-9154-d2ff7ec3302d
88106839,"Hermann-Hesse-Straße 2b, Bühlau/Weißer Hirsch, Dresden",14,"[Balkon/Terrasse, Keller, Gäste-WC, Aufzug]",True,,Wohnung,1.300 €,,51.06515,13.8206,Miete,01324,Dresden,Bühlau/Weißer Hirsch,"3,5-Zi.-Whg. im sanierten Altbau, ""Herrenbad"" Dr. Lahmann Park","110,27 m²","3,5",False,28d5d17f-e4c1-3f60-ba32-91e8b3a727c3
